Year,Species,Metric.Tons,Pounds,LandedValue,TaxonKey
2010,"SHARK, TIGER",29.4,64781,27122,
2010,SHARKS,625.9,1379856,1538478,
2010,"SHEEPHEAD, CALIFORNIA",30.4,67088,308227,
2010,SHEEPSHEAD,752.9,1659811,880009,
2010,SHELLFISH,3122,6882836,5317077,
2010,"SHRIMP, BLUE MUD",1.1,2350,3009,
2010,"SHRIMP, BRINE",78.9,173981,396987,
2010,"SHRIMP, BROWN",36042.2,79458707,148099192,
2010,"SHRIMP, FW ",0.1,251,1323,
2010,"SHRIMP, GHOST",30.8,67817,161674,
2010,"SHRIMP, MARINE, OTHER",1416.7,3123352,12829273,
2010,"SHRIMP, OCEAN",20347.3,44857670,15434659,
2010,"SHRIMP, PACIFIC ROCK",99.6,219645,408276,
2010,"SHRIMP, PENAEID",407.2,897774,2576062,
2010,"SHRIMP, PINK",5049.5,11132073,19460694,
2010,"SHRIMP, ROCK",982.6,2166336,2994147,
2010,"SHRIMP, ROYAL RED",341.5,752951,1633082,
2010,"SHRIMP, SEABOB",489.3,1078665,396829,
2010,"SHRIMP, SPOT",307.4,677734,4930868,
2010,"SHRIMP, WHITE",47357.5,104404385,200000940,
2010,"SHRIMP,PANDALID",6079.5,13402797,7322155,
2010,SILVERSIDES,11.8,25960,23316,
2010,"SKATE, LITTLE",4214,9290282,972389,
2010,SKATES,23633.6,52102665,10961200,
2010,SKIPPERS,6.3,13937,3989,
2010,"SMELT, EULACHON",1.3,2908,8304,
2010,"SMELT, RAINBOW",25.9,57135,126990,
2010,SMELTS,147.4,324903,134535,
2010,SNAILS (CONCHS),442.7,975984,1630021,
2010,"SNAPPER, BLACK",0,47,178,
2010,"SNAPPER, BLACKFIN",0.8,1804,4327,
2010,"SNAPPER, CUBERA",2.4,5385,11187,
2010,"SNAPPER, DOG",0.2,360,352,
2010,"SNAPPER, GRAY",111.6,246031,568736,
2010,"SNAPPER, LANE",9,19847,48375,
2010,"SNAPPER, MUTTON",58.5,128909,301217,
2010,"SNAPPER, QUEEN",6.7,14878,44563,
2010,"SNAPPER, RED",1479.8,3262289,10210380,
2010,"SNAPPER, SILK",21.8,47986,141183,
2010,"SNAPPER, VERMILION",1382.2,3047261,7864299,
2010,"SNAPPER, YELLOWTAIL",768.9,1695028,4400620,
2010,SNAPPERS,107.1,236036,1260703,
2010,"SOLE, BUTTER",0,106,34,
2010,"SOLE, CURLFIN",0.1,313,95,
2010,"SOLE, DOVER",10558.2,23276709,7010303,
2010,"SOLE, ENGLISH",248.8,548546,163799,
2010,"SOLE, FLATHEAD",21760.6,47973497,6079418,
2010,"SOLE, PETRALE",800.3,1764425,2004136,
2010,"SOLE, REX",4545.2,10020277,2528722,
2010,"SOLE, ROCK",53426.9,117784923,18502745,
2010,"SOLE, SAND",68.3,150521,124680,
2010,"SOLE, YELLOWFIN",113246,249662220,32841175,
2010,SPADEFISHES,33.7,74301,34455,
2010,SPEARFISHES,123.2,271632,370714,
2010,"SPONGE, GRASS",16.2,35819,50854,
2010,"SPONGE, SHEEPSWOOL",45.9,101225,296984,
2010,"SPONGE, YELLOW",38.7,85348,105370,
2010,SPONGES,2.5,5582,2929,
2010,SPOT,1032.4,2276049,1826528,
2010,"SQUID, CALIFORNIA MARKET",130850.9,288473947,71160036,
2010,"SQUID, LONGFIN",6716,14806094,15753727,
2010,"SQUID, NORTHERN SHORTFIN",15822.9,34883173,11286557,
2010,SQUIDS,554.8,1223062,185820,
2010,SQUIRRELFISHES,41.7,92006,351946,
2010,"STARGAZER, NOTHERN",0.1,117,42,
2010,"STURGEON, WHITE",120,264516,532652,
2010,SUCKERS,40.5,89256,27024,
2010,SUNFISHES,0.6,1365,165,
2010,SURFPERCHES,5.6,12438,25126,
2010,SURGEONFISHES,51.1,112612,202600,
2010,SWORDFISH,3521.9,7764337,21827164,
2010,TARPON,0,75,38,
2010,"TARPON, HAWAIIAN",0.5,1127,1174,
2010,TAUTOG,129.6,285818,791771,
2010,"THORNYHEAD, SHORTSPINE",1300.6,2867280,3369181,
2010,THREADFINS,0.2,507,3386,
2010,THRESHER SHARKS,18.4,40525,14867,
2010,TILAPIAS,115.5,254713,128442,
2010,"TILEFISH, BLUELINE",219.2,483198,884496,
2010,"TILEFISH, GOLDEN",1198.6,2642379,6678624,
2010,"TILEFISH, SAND",0.2,514,209,
2010,TILEFISHES,3,6659,11224,
2010,TOADFISHES,8.1,17812,43872,
2010,"TRIGGERFISH, GRAY",5.3,11781,13081,
2010,TRIPLETAIL,4.5,9997,30787,
2010,"TROUT, LAKE",389.3,858293,353516,
2010,"TROUT, RAINBOW",187.8,414129,549315,
2010,"TUNA, ALBACORE",12116.6,26712249,30402544,
2010,"TUNA, BIGEYE",6340.5,13978227,54486231,
2010,"TUNA, BLACKFIN",14.2,31325,41131,
2010,"TUNA, BLUEFIN",615,1355852,9143499,
2010,"TUNA, BLUEFIN PACIFIC",1.3,2782,6137,
2010,"TUNA, KAWAKAWA",1.1,2344,5271,
2010,"TUNA, LITTLE TUNNY",497.6,1096918,372989,
2010,"TUNA, SKIPJACK",138.1,304462,553795,
2010,"TUNA, YELLOWFIN",2038.7,4494500,12899865,
2010,TUNAS,10.4,22882,54703,
2010,"TURBOT, HORNYHEAD",4.9,10712,16394,
2010,"TURTLE, SLIDERS",3.7,8201,3742,
2010,"TURTLE, SNAPPING",59.5,131071,197593,
2010,"TURTLE, SOFT-SHELL",0.2,348,435,
2010,WAHOO,300,661472,1893849,
2010,WALLEYE,22.1,48798,81868,
2010,WEAKFISH,93.3,205626,257244,
2010,"WHELK, CHANNELED",1014.9,2237372,6160989,
2010,"WHELK, KNOBBED",804.5,1773638,347517,
2010,"WHITEFISH, LAKE",4682.8,10323679,11112595,
2010,"WHITEFISH, ROUND",7.6,16782,10697,
2010,WOLF-EEL,0,104,127,
2010,"WOLFFISH, ATLANTIC",2.6,5624,6082,
2010,WRECKFISH,1.3,2784,8925,
2010,YELLOWTAIL JACK,6.9,15320,22456,
