NMFS Landings Query Results,,,,
,,,,
You Asked For the Following:,,,,
,,,,
Year             : From: 1950 To: 2010,,,,
,,,,
Species          : ALL SPECIES INDIVIDUALLY,,,,
,,,,
State            : All States,,,,
,,,,
Year,Species,Metric Tons,Pounds,$
1950,TRIPLETAIL,17,"37,400","3,378"
1950,"TROUT, LAKE","1,476.70","3,255,600","1,243,734"
1950,"TROUT, RAINBOW",485.1,"1,069,358","172,940"
1950,"TUNA, ALBACORE","32,864.60","72,453,294","13,839,263"
1950,"TUNA, BLUEFIN",574.8,"1,267,200","112,366"
1950,"TUNA, BLUEFIN PACIFIC","1,252.70","2,761,800","425,391"
1950,"TUNA, LITTLE TUNNY",134.2,"295,900","10,865"
1950,"TUNA, SKIPJACK","57,509.80","126,786,100","18,130,439"
1950,"TUNA, YELLOWFIN","85,226.10","187,889,500","28,823,213"
1950,"TURTLE, GREEN SEA",3.2,"7,100",710
1950,"TURTLE, LOGGERHEAD SEA",3.4,"7,600",194
1950,"TURTLE, SNAPPING",87.9,"193,700","24,620"
1950,"TURTLE, TERRAPIN",131,"288,900","60,614"
1950,WALLEYE,"3,397.50","7,490,100","1,866,416"
1950,WEAKFISH,"3,622.20","7,985,600","784,071"
1950,"WHITEFISH, LAKE","1,977.10","4,358,800","1,661,724"
1950,"WHITEFISH, OCEAN",9.3,"20,600","1,890"
1950,"WHITEFISH, ROUND",73.1,"161,100","29,801"
1950,"WOLFFISH, ATLANTIC","1,098.30","2,421,300","137,008"
1950,YELLOWTAIL JACK,"1,601.10","3,529,800","314,334"
1951,ABALONES,370.5,"816,800","364,596"
1951,ALEWIFE,"26,171.10","57,696,700","765,521"
1951,AMBERJACK,23.9,"52,700","2,322"
1951,ANCHOVIES,"3,156.30","6,958,400","143,852"
1951,BARRACUDAS,990,"2,182,600","360,534"
1951,"BASS, ROCK",11.6,"25,500","3,218"
1951,"BASS, STRIPED","2,774.50","6,116,600","1,299,857"
1951,"BASS, WHITE",448.7,"989,200","198,600"
1951,BLOODWORMS,98,"216,100","158,107"
1951,BLUEFISH,"2,117.90","4,669,200","760,256"
1951,"BONITO, ATLANTIC",26.2,"57,800","5,522"
1951,"BONITO, PACIFIC",352.4,"776,800","74,265"
1951,BOWFIN,17.5,"38,500","1,540"
1951,BUFFALOFISHES,352.9,"777,900","86,702"
1951,BURBOT,258.7,"570,400","31,011"
1951,BUTTERFISH,"4,820.90","10,628,200","800,675"
1951,CABEZON,10.8,"23,900",717
1951,"CARP, COMMON","3,862.60","8,515,400","413,748"
1951,CARPS AND MINNOWS,45,"99,200","7,256"
