"SPEC","Species","UNIT","Measure","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PPEL","Pelagics","TON","Tonnes","BEL","Belgium","2008","2008","TONNE","Tonnes","0","units",,,1.1,,
"PPEL","Pelagics","TON","Tonnes","BEL","Belgium","2010","2010","TONNE","Tonnes","0","units",,,12,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","1995","1995","DKK","Danish Krone","0","units",,,521000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","1996","1996","DKK","Danish Krone","0","units",,,521000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","1997","1997","DKK","Danish Krone","0","units",,,24000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","1998","1998","DKK","Danish Krone","0","units",,,37000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","1999","1999","DKK","Danish Krone","0","units",,,37000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2000","2000","DKK","Danish Krone","0","units",,,7907000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2001","2001","DKK","Danish Krone","0","units",,,313000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2002","2002","DKK","Danish Krone","0","units",,,14000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2003","2003","DKK","Danish Krone","0","units",,,62000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2004","2004","DKK","Danish Krone","0","units",,,56000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2005","2005","DKK","Danish Krone","0","units",,,79000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2006","2006","DKK","Danish Krone","0","units",,,288000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2007","2007","DKK","Danish Krone","0","units",,,499175,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2008","2008","DKK","Danish Krone","0","units",,,158865,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2009","2009","DKK","Danish Krone","0","units",,,132396,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","DNK","Denmark","2010","2010","DKK","Danish Krone","0","units",,,139545,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","1995","1995","TONNE","Tonnes","0","units",,,11525.1,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","1996","1996","TONNE","Tonnes","0","units",,,12821.468,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","1997","1997","TONNE","Tonnes","0","units",,,12515.203,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","1998","1998","TONNE","Tonnes","0","units",,,10531.218,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","1999","1999","TONNE","Tonnes","0","units",,,17777.726,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2000","2000","TONNE","Tonnes","0","units",,,19754.021,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2001","2001","TONNE","Tonnes","0","units",,,18806.38,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2002","2002","TONNE","Tonnes","0","units",,,22624.143,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2003","2003","TONNE","Tonnes","0","units",,,21796.566,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2004","2004","TONNE","Tonnes","0","units",,,21346.811,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2005","2005","TONNE","Tonnes","0","units",,,17738.361,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2006","2006","TONNE","Tonnes","0","units",,,15590.315,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2007","2007","TONNE","Tonnes","0","units",,,16526.667,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2008","2008","TONNE","Tonnes","0","units",,,18021,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2009","2009","TONNE","Tonnes","0","units",,,19971.109,,
"POTH","Other Groundfish","TON","Tonnes","GBR","United Kingdom","2010","2010","TONNE","Tonnes","0","units",,,14755.115,,
"POTH","Other Groundfish","TON","Tonnes","GRC","Greece","2000","2000","TONNE","Tonnes","0","units",,,16,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","ESP","Spain","2002","2002","EUR","Euro","0","units",,,4083205.35,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","ESP","Spain","2003","2003","EUR","Euro","0","units",,,4060000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","ESP","Spain","2005","2005","EUR","Euro","0","units",,,4997277.51,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","ESP","Spain","2006","2006","EUR","Euro","0","units",,,4286896.451,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","ESP","Spain","2007","2007","EUR","Euro","0","units",,,9944061.425,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","ESP","Spain","2008","2008","EUR","Euro","0","units",,,5175000,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","ESP","Spain","2009","2009","EUR","Euro","0","units",,,7581583.716,,
"PTOM","TOTAL SHELLFISH AND MOLLUSCS","LC","National Currency","ESP","Spain","2010","2010","EUR","Euro","0","units",,,8540324,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","1995","1995","TONNE","Tonnes","0","units",,,20897,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","1997","1997","TONNE","Tonnes","0","units",,,109,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","1998","1998","TONNE","Tonnes","0","units",,,21522,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","1999","1999","TONNE","Tonnes","0","units",,,6572,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2000","2000","TONNE","Tonnes","0","units",,,2836,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2001","2001","TONNE","Tonnes","0","units",,,979,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2002","2002","TONNE","Tonnes","0","units",,,1054,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2003","2003","TONNE","Tonnes","0","units",,,1758.978,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2004","2004","TONNE","Tonnes","0","units",,,6000,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2005","2005","TONNE","Tonnes","0","units",,,11000,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2006","2006","TONNE","Tonnes","0","units",,,14792,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2007","2007","TONNE","Tonnes","0","units",,,4592,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2008","2008","TONNE","Tonnes","0","units",,,12971,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2009","2009","TONNE","Tonnes","0","units",,,5466,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","ISL","Iceland","2010","2010","TONNE","Tonnes","0","units",,,861,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","1997","1997","TONNE","Tonnes","0","units",,,97,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2000","2000","TONNE","Tonnes","0","units",,,30,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2001","2001","TONNE","Tonnes","0","units",,,11,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2002","2002","TONNE","Tonnes","0","units",,,35,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2003","2003","TONNE","Tonnes","0","units",,,7,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2004","2004","TONNE","Tonnes","0","units",,,18,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2005","2005","TONNE","Tonnes","0","units",,,109,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2006","2006","TONNE","Tonnes","0","units",,,113,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2007","2007","TONNE","Tonnes","0","units",,,80,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2008","2008","TONNE","Tonnes","0","units",,,7,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2009","2009","TONNE","Tonnes","0","units",,,6,,
"PSAL","Salmon","TON","Tonnes","SWE","Sweden","2010","2010","TONNE","Tonnes","0","units",,,2,,
"PHOM","Horse Mackerel","LC","National Currency","BEL","Belgium","2004","2004","EUR","Euro","0","units",,,5000,,
"PHOM","Horse Mackerel","LC","National Currency","BEL","Belgium","2005","2005","EUR","Euro","0","units",,,12000,,
"PHOM","Horse Mackerel","LC","National Currency","BEL","Belgium","2006","2006","EUR","Euro","0","units",,,14694,,
"PHOM","Horse Mackerel","LC","National Currency","BEL","Belgium","2007","2007","EUR","Euro","0","units",,,2147,,
"PHOM","Horse Mackerel","LC","National Currency","BEL","Belgium","2008","2008","EUR","Euro","0","units",,,110,,
"PHOM","Horse Mackerel","LC","National Currency","BEL","Belgium","2009","2009","EUR","Euro","0","units",,,177,,
"PHOM","Horse Mackerel","LC","National Currency","BEL","Belgium","2010","2010","EUR","Euro","0","units",,,3286,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","NOR","Norway","1995","1995","TONNE","Tonnes","0","units",,,977,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","NOR","Norway","1996","1996","TONNE","Tonnes","0","units",,,23830,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","NOR","Norway","1997","1997","TONNE","Tonnes","0","units",,,28930,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","NOR","Norway","1998","1998","TONNE","Tonnes","0","units",,,17101,,
"PHER","Herring (Atlantic and Pacific)","TON","Tonnes","NOR","Norway","1999","1999","TONNE","Tonnes","0","units",,,35723,,
