Species,TaxonKey
Large-eye dentex - Dentex macrophthalmus,NA
Large-eyed rabbitfish - Hydrolagus mirabilis,NA
Largehead hairtail - Trichiurus lepturus,NA
Large-scaled gurnard - Lepidotrigla cavillone,NA
Law croaker - Pseudotolithus senegallus,NA
Leafscale gulper shark - Centrophorus squamosus,NA
Leaping mullet - Liza saliens,NA
Leerfish - Lichia amia,NA
Lefteye flounders nei - Bothidae,NA
Lemon sole - Microstomus kitt,NA
Leopard skate - Raja leopardus,NA
Lesser flying squid - Todaropsis eblanae,NA
Lesser slipper lobster - Scyllarus arctus,NA
Lesser weever - Trachinus vipera,NA
Lightfoot crab - Grapsus grapsus,NA
Lilliput longarm octopus - Octopus defilippi,NA
Limpet - Patella vulgata,NA
Limpets nei - Patella spp,NA
Ling - Molva molva,NA
Lings nei - Molva spp,NA
Little sleeper shark - Somniosus rostratus,NA
Little tunny (=Atl.black skipjack) - Euthynnus alletteratus,NA
Liza spp,NA
Lizardfishes nei - Synodontidae,NA
Lobsters nei - Reptantia,NA
"Lobsters, spiny-rock lobsters",NA
Long-armed squid - Chiroteuthis veranyi,NA
Longbill spearfish - Tetrapturus pfluegeri,NA
Longfin gurnard - Chelidonichthys obscurus,NA
Longfin yellowtail - Seriola rivoliana,NA
Longnose spurdog - Squalus blainvillei,NA
Longnose velvet dogfish - Centroscymnus crepidater,NA
Longnosed skate - Raja oxyrinchus,NA
Longspine snipefish - Macroramphosus scolopax,NA
Longtail Southern cod - Patagonotothen ramsayi,NA
Lowfin gulper shark - Centrophorus lusitanicus,NA
Lugworm - Arenicola marina,NA
Lumpfish(=Lumpsucker) - Cyclopterus lumpus,NA
Lusitanian toadfish - Halobatrachus didactylus,NA
Mackerel scad - Decapterus macarellus,NA
"Mackerel sharks, Porbeagles, nei - Lamnidae",NA
Mackerels nei - Scombridae,NA
Mactra surf clams nei - Mactridae,NA
Madeiran sardinella - Sardinella maderensis,NA
Maja spider crabs nei,NA
Mako sharks - Isurus spp,NA
Maltese ray - Raja melitensis,NA
Mango tilapia - Sarotherodon galilaeus,NA
Manila clam - Corbicula manilensis,NA
Marbled electric ray - Torpedo marmorata,NA
Marbled spinefoot - Siganus rivulatus,NA
Marine crabs nei - Brachyura,NA
Marine crustaceans nei - Crustacea,NA
Marine fishes,100039
Marine fishes nei - Osteichthyes,NA
Marine fishes not identified,NA
Marine molluscs nei - Mollusca,NA
Marine otter - Lutra felina,NA
Marine worms - Polychaeta,NA
"Marlins, Sailfishes, etc nei - Istiophoridae",NA
Marphysa sanguinea,NA
Mature dosinia - Dosinia exoleta,NA
Meagre - Argyrosomus regius,NA
Meagres nei - Argyrosomus spp,NA
Meagres nei - Sciaena spp,NA
Mediterranean bigeye rockling - Gaidropsarus biscayensis,NA
Mediterranean geryon - Geryon longipes,NA
Mediterranean horse mackerel - Trachurus mediterraneus,NA
Mediterranean moray - Muraena helena,NA
Mediterranean mussel - Mytilus galloprovincialis,NA
Mediterranean rainbow wrasse - Coris julis,NA
Mediterranean sand eel - Gymnammodytes cicerelus,NA
Mediterranean sand smelt - Atherina hepsetus,NA
