"Species","CommonName","Name","TaxonKey"
"Raja polystigma","Speckled ray","Speckled ray - Raja polystigma",500108
"Raja radiata","Starry ray","Starry ray - Raja radiata",500108
"Raja radula","Rough ray","Rough ray - Raja radula",500108
"Raja spp","Raja rays nei","Raja rays nei - Raja spp",500108
"Trichiurus spp","Hairtails nei","Hairtails nei - Trichiurus spp",500114
"Coryphaena equiselis","Pompano dolphinfish","Pompano dolphinfish - Coryphaena equiselis",500116
"Coryphaenidae","Dolphinfishes nei","Dolphinfishes nei - Coryphaenidae",500116
"Gobius bucchichi","Bucchich's goby","Bucchich's goby - Gobius bucchichi",500120
"Gobius cobitis","Giant goby","Giant goby - Gobius cobitis",500120
"Gobius strictus","Gobius strictus","Gobius strictus",500120
"Trachinus araneus","Spotted weever","Spotted weever - Trachinus araneus",500122
"Trachinus spp","Weevers nei","Weevers nei - Trachinus spp",500122
"Trachinus vipera","Lesser weever","Lesser weever - Trachinus vipera",500122
"Ammodytes spp","Sandeels(=Sandlances) nei","Sandeels(=Sandlances) nei - Ammodytes spp",500124
"Ammodytes tobianus","Small sandeel","Small sandeel - Ammodytes tobianus",500124
"Gymnammodytes cicerelus","Mediterranean sand eel","Mediterranean sand eel - Gymnammodytes cicerelus",500124
"Uranoscopus spp","Stargazers","Stargazers - Uranoscopus spp",500125
"Gasterosteus spp","Sticklebacks","Sticklebacks - Gasterosteus spp",500130
"Scorpaena elongata","Slender rockfish","Slender rockfish - Scorpaena elongata",500134
"Scorpaena notata","Small red scorpionfish","Small red scorpionfish - Scorpaena notata",500134
"Scorpaena spp","Scorpionfishes, Rockfishes, nei ","Scorpionfishes, Rockfishes, nei - Scorpaena spp",500134
"Salmo spp","Trouts nei","Trouts nei - Salmo spp",500136
"Scomber spp","Scomber mackerels nei","Scomber mackerels nei - Scomber spp",500142
"Mullus spp","Surmullets(=Red mullets) nei","Surmullets(=Red mullets) nei - Mullus spp",500143
"Chelidonichthys obscurus","Longfin gurnard","Longfin gurnard - Chelidonichthys obscurus",500144
"Lepidotrigla dieuzeidei","Spiny gurnard","Spiny gurnard - Lepidotrigla dieuzeidei",500144
"Pacific gurnards","Indo","Indo-Pacific gurnards - Chelidonichthys spp",500144
"Trigla spp","Gurnards nei","Gurnards nei - Trigla spp",500144
"Argentina spp","Argentines","Argentines - Argentina spp",500147
"Mugil spp","Mugil spp","Mugil spp",500152
"Macrourus spp","Grenadiers nei","Grenadiers nei - Macrourus spp",500327
"hound","Blackspotted smooth","Blackspotted smooth-hound - Mustelus punctulatus",500348
"hounds nei","Smooth","Smooth-hounds nei - Mustelus spp",500348
"Rhinobatos spp","Guitarfishes nei","Guitarfishes nei - Rhinobatos spp",500351
"Alosa alosa, A.fallax","Allis and twaid shads","Allis and twaid shads - Alosa alosa, A.fallax",500352
"Shads","Shads","Shads",500352
"Alosa maeotica","Black Sea shad","Black Sea shad - Alosa maeotica",500352
"Alosa pontica","Pontic shad","Pontic shad - Alosa pontica",500352
"Alosa spp","Shads nei","Shads nei - Alosa spp",500352
"Caspialosa spp","Caspian shads","Caspian shads - Caspialosa spp",500352
"Lutjanus spp","Snappers nei","Snappers nei - Lutjanus spp",500357
"Mola spp","Sunfish","Sunfish - Mola spp",500358
"and","Blue","Blue-and-yellow grouper - Epinephelus flavocaeruleus",500366
"Epinephelus costae","Goldblotch grouper","Goldblotch grouper - Epinephelus costae",500366
