Species,CommonName,Name,T1,TaxonKey
Cepola macrophthalma,Red bandfish,Red bandfish - Cepola macrophthalma,NA,600056
Coris julis,Mediterranean rainbow wrasse,Mediterranean rainbow wrasse - Coris julis,NA,600058
Symphodus melops,Corkwing wrasse,Corkwing wrasse - Symphodus melops,NA,600059
Cyclopterus lumpus,Lumpfish(=Lumpsucker),Lumpfish(=Lumpsucker) - Cyclopterus lumpus,NA,600062
Dicentrarchus labrax,European seabass,European seabass - Dicentrarchus labrax,NA,600063
Engraulis encrasicolus,European anchovy,European anchovy - Engraulis encrasicolus,NA,600066
Eutrigla gurnardus,Grey gurnard,Grey gurnard - Eutrigla gurnardus,NA,600068
Gadus morhua,Atlantic cod,Atlantic cod - Gadus morhua,600069,600069
Caranx hippos,Crevalle jack,Crevalle jack - Caranx hippos,NA,600071
Gobius niger,Black goby,Black goby - Gobius niger,NA,600072
Istiophorus albicans,Atlantic sailfish,Atlantic sailfish - Istiophorus albicans,600078,600078
Aprion virescens,Green jobfish,Green jobfish - Aprion virescens,NA,600084
Lamna nasus,Porbeagle,Porbeagle - Lamna nasus,NA,600088
Acanthocybium solandri,Wahoo,Wahoo - Acanthocybium solandri,NA,600089
Cetorhinus maximus,Basking shark,Basking shark - Cetorhinus maximus,600090,600090
Auxis rochei,Bullet tuna,Bullet tuna - Auxis rochei,NA,600093
Auxis thazard,Frigate tuna,Frigate tuna - Auxis thazard,NA,600094
Euthynnus alletteratus,Little tunny (=Atl.black skipjack),Little tunny (=Atl.black skipjack) - Euthynnus alletteratus,NA,600097
Alosa alosa,Allis shad,Allis shad - Alosa alosa,600101,600101
Gymnosarda unicolor,Dogtooth tuna,Dogtooth tuna - Gymnosarda unicolor,NA,600106
Katsuwonus pelamis,Skipjack tuna,Skipjack tuna - Katsuwonus pelamis,NA,600107
Orcynopsis unicolor,Plain bonito,Plain bonito - Orcynopsis unicolor,NA,600108
Sarda sarda,Atlantic bonito,Atlantic bonito - Sarda sarda,600115,600115
Scomber australasicus,Blue mackerel,Blue mackerel - Scomber australasicus,NA,600116
Scomber japonicus,Chub mackerel,Chub mackerel - Scomber japonicus,NA,600117
Scomber scombrus,Atlantic mackerel,Atlantic mackerel - Scomber scombrus,600118,600118
Somniosus microcephalus,Greenland shark,Greenland shark - Somniosus microcephalus,NA,600138
Squalus acanthias,Picked dogfish,Picked dogfish - Squalus acanthias,NA,600139
Thunnus alalunga,Albacore,Albacore - Thunnus alalunga,600142,600142
Thunnus albacares,Yellowfin tuna,Yellowfin tuna - Thunnus albacares,NA,600143
Thunnus atlanticus,Blackfin tuna,Blackfin tuna - Thunnus atlanticus,NA,600144
Thunnus maccoyii,Southern bluefin tuna,Southern bluefin tuna - Thunnus maccoyii,NA,600145
Thunnus obesus,Bigeye tuna,Bigeye tuna - Thunnus obesus,NA,600146
Thunnus thynnus,Atlantic bluefin tuna,Atlantic bluefin tuna - Thunnus thynnus,600147,600147
Lutjanus kasmira,Common bluestripe snapper,Common bluestripe snapper - Lutjanus kasmira,NA,600156
Pristipomoides filamentosus,Crimson jobfish,Crimson jobfish - Pristipomoides filamentosus,NA,600201
Boops boops,Bogue,Bogue - Boops boops,NA,600203
Sarpa salpa,Salema,Salema - Sarpa salpa,NA,600204
Makaira nigricans,Blue marlin,Blue marlin - Makaira nigricans,NA,600216
