Country,Year,CNumber.x,Landings,LandedValue,ObservedPrice,TaxonKey,ISSCAAP,OrdCode,FamCode,GenCode,SpeCode,TargetCode,Used,OldVersionData,nom,CNumber.y,FishingEntityID,FishingEntityName
Spain,1995,724,38009,77735136,2045.17709,600031,32,44,183,3209,31,14,TRUE,NA,21548,724,165,Spain
Spain,1994,724,214950,60059692,279.4123843,601350,35,28,43,4103,1350,1,TRUE,NA,20975,724,165,Spain
Spain,1998,724,8563,23475412,2741.493869,590010,57,90002,90010,90010,NA,25,TRUE,NA,23045,724,165,Spain
Spain,2005,724,266,1744308,6557.548872,590128,56,90020,90059,90128,NA,29,TRUE,NA,28149,724,165,Spain
Spain,1994,724,14663,20210196,1378.312487,490004,57,90002,90004,NA,NA,25,TRUE,NA,20947,724,165,Spain
Spain,2005,724,134,1809219,13501.63433,590145,56,90020,90061,90145,NA,29,TRUE,NA,28150,724,165,Spain
Spain,2006,724,7908,39283808,4967.60344,100056,56,NA,NA,NA,NA,29,TRUE,NA,29005,724,165,Spain
Spain,2001,724,6309,35855120,5683.170074,100045,45,NA,NA,NA,NA,26,TRUE,NA,24872,724,165,Spain
Spain,2004,724,62,1683530,27153.70968,490042,45,90013,90042,NA,NA,26,TRUE,NA,27315,724,165,Spain
Spain,2006,724,1382,592724,428.8885673,600203,33,60,330,810,203,5,TRUE,NA,29135,724,165,Spain
Spain,2001,724,45222,83146104,1838.620671,100057,57,NA,NA,NA,NA,25,TRUE,NA,24874,724,165,Spain
Spain,2003,724,30976,107064576,3456.371901,500654,32,44,184,654,NA,15,TRUE,NA,26543,724,165,Spain
Spain,1994,724,40245,26458052,657.4245745,500661,37,60,314,661,NA,2,TRUE,NA,20955,724,165,Spain
Spain,1992,724,21,372580,17741.90476,690125,43,90013,90038,90077,90125,27,TRUE,NA,19893,724,165,Spain
Spain,1999,724,16913,59526696,3519.582333,590010,57,90002,90010,90010,NA,25,TRUE,NA,23625,724,165,Spain
Spain,1993,724,516,1053670,2041.996124,100055,55,NA,NA,NA,NA,29,TRUE,NA,20396,724,165,Spain
Spain,2001,724,585,1628488,2783.740171,200004,38,NA,NA,NA,NA,21,TRUE,NA,24879,724,165,Spain
Spain,1994,724,356,688738,1934.657303,600029,32,44,183,9296,29,14,TRUE,NA,20962,724,165,Spain
Spain,1993,724,110054,217658816,1977.745616,100058,58,NA,NA,NA,NA,29,TRUE,NA,20398,724,165,Spain
Spain,2004,724,296,1934117,6534.179054,290006,52,NA,NA,NA,NA,29,TRUE,NA,27276,724,165,Spain
